Sex	Age	Nationality	Type	Taken Antibiotics	q6	6_apres	q7	7_apres	q8	8_apres	q9	q10	q11
Female	26	Danish	Frequent traveler	Yes	2	4	1	4	2	3	1	2	5
Female	50	Irish		No	1	3	1	4	1	4	2	1	5
Male	22	American	Frequent traveler	No	1	5	1	3	1	3	1	1	5
Male	21	British	Pet-owner	Yes	1	2	1	3	1	3	1	1	5
Female	34	Hungarian	Frequent traveler	No	2	2	3	3	3	4	1	1	4
Female	45	Spanish	Frequent traveler	Yes	3	4	3	4	3	5	2	2	4
Male	33	Irish	Frequent traveler	Yes	3	4	3	3	4	4	1	1	5
Male	25	French	Health care worker	Yes	4	3	4	4	5	4	1	3	5
Female	29	Austria	Frequent traveler	No	2	4	2	3	3	4	1	1	4
Male	28	Australian	Frequent traveler	Yes	2	4	3	4	3	4	2	2	4
Female	36	German	Frequent traveler	No	2	3	1	4	3	5	1	2	4
Female	34	American		No	2	4	3	4	3	5	1	1	5
Male	33	Irish	Pet-owner	Yes	3	4	3	3	5	3	1	1	5
Male	45	British	Farm worker	No	1	2	1	4	5	4	2	1	5
Male	27	British	Pet-owner	Yes	3	5	4	3	4	4	2	2	4
Male	40	British	Health care worker	Yes	5	4	5	4	5	3	1	2	4
Male	50	Beitish		No	2	3	3	4	3	4	1	2	4
Female	33	British		Yes	2	4	1	2	4	4	1	1	5
Male	25	American	Pet-owner	Yes	3	5	4	4	3	4	1	2	4
Female	35	Austrian		Yes	3	4	4	3	3	4	1	2	5
Male	38	Norwegian		No	5	3	3	5	2	4	1	2	5
Female	35	Italian		Yes	3	3	4	4	3	5	1	1	4
Female	28	Greece	Frequent traveler	Yes	2	4	3	4	2	4	2	1	5
Female	24	Japan	Frequent traveler	Yes	2	4	5	3	5	5	3	3	3
Male	51	USA	Pet-owner	No	4	4	3	4	3	4	2	2	5
Male	30	Bulgarian	Frequent traveler	Yes	2	4	3	4	4	5	1	3	4
Female	13	British	Frequent traveler	Yes	3	4	1	4	3	5	2	2	5
Female	19	British	Pet-owner	Yes	2	3	1	5	2	5	1	1	4
Female	29	British	Frequent traveler	Yes	2	3	2	5	2	5	1	1	5
Male	41	British	Pet-owner	Yes	3	4	4	4	4	4	2	3	5
Male	41	Uk	Health care worker	No	2	3	4	5	5	5	1	2	4
Female	25	Uk	Pet-owner	Yes	2	3	2	4	5	3	1	1	5
Female	21	American	Frequent traveler	No	3	3	4	2	5	4	1	2	4
Male	29	English		No	4	4	4	3	2	1	1	3	5
Female	32	South corea	Frequent traveler	No	2	4	3	3	5	4	2	4	5
Female	24	British	Pet-owner	Yes	3	3	3	3	4	5	1	3	4
Female	26	Spanish	Pet-owner	No	3	4	1	3	5	5	2	2	4
Female	24	Russia	Pet-owner	Yes	4	4	4	5	5	5	1	1	4
Female	24	French	Frequent traveler	No	2	3	5	5	3	4	1	1	5
Female	28	Brazilian	Pet-owner	Yes	5	4	5	4	5	4	2	3	5
Other	23	Singaporean	Frequent traveler	Yes	2	4	4	3	5	5	2	2	4
Female	26	Uk		Yes	2	4	3	3	4	4	1	1	4
Female	23	British	Pet-owner	No	2	3	1	1	4	4	1	1	5
Male	26	British		Yes	4	4	3	4	5	3	1	1	3
Male	30	Italian	Frequent traveler	Yes	2	3	3	5	5	4	2	2	5
